URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color,alpha
150,673,673,3.5,139,label,1,0,1100,-250,black,none,1
151,675,675,-7.5,159,label,1,0,1100,-250,black,none,1
152,676,676,-3.5,149,label,1,0,1100,-250,black,none,1
153,679,679,-4.5,121,label,1,0,1100,-250,black,none,1
154,682,682,-1.5,129,label,1,0,1100,-250,black,none,1
155,684,684,-0.5,123,label,1,0,1100,-250,black,none,1
156,701,701,-6.5,20,label,1,0,1100,-250,black,none,1
157,702,702,-16.5,46,label,1,0,600,-250,black,none,1
158,704,704,-2.5,55.5,label,1,0,1100,-250,black,none,1
159,705,705,-9.5,61.5,label,1,0,1100,-250,black,none,1
160,707,707,35.5,-1,label,1,0,1100,-250,black,none,1
161,709,709,3.5,40,label,1,0,1100,-250,black,none,1
162,712,712,0.5,32,label,1,0,1100,-250,black,none,1
163,714,714,20.5,-4,label,1,0,1100,-250,black,none,1
164,715,715,23.5,21,label,1,0,1100,-250,black,none,1
165,716,716,12.5,35,label,1,0,1100,-250,black,none,1
166,776,776,37,-2,label,1,0,1100,-250,black,none,1
167,777,777,27.5,5,label,1,0,1100,-250,black,none,1
168,778,778,18.5,-9,label,1,0,600,-250,black,none,1
169,779,779,9.5,22,label,1,0,1100,-250,black,none,1
170,780,780,13.5,39,label,1,0,600,-250,black,none,1
171,781,781,-14.5,34,label,1,0,600,-250,black,none,1
172,782,782,-2.5,11,label,1,0,1100,-250,black,none,1
173,783,783,-19.5,15,label,1,0,1100,-250,black,none,1
174,784,784,-31,17.5,label,1,0,1100,-250,black,none,1
175,800,800,-0.5,132,label,1,0,1100,-250,black,none,1
176,801,801,-21.5,135,label,1,0,0,-250,black,none,1
177,802,802,-80.5,84,label,1,0,83,-250,black,none,1
178,803,803,-68.5,-65,label,1,0,1100,-250,black,none,1
179,804,804,-75.5,-119,label,1,0,0,-250,black,none,1
180,805,805,-78.5,-90,label,1,0,1100,-250,black,none,1
181,806,806,-37.5,174,label,1,0,1100,-250,black,none,1
182,807,807,-45.5,168,label,1,0,1100,-250,black,none,1
183,808,808,-9.5,147,label,1,0,1100,-250,black,none,1
184,809,809,-8.5,156,label,1,0,1100,-250,black,none,1
185,810,810,-11.5,153,label,1,0,1100,-250,black,none,1
186,811,811,-60.5,-59,label,1,0,1100,-250,black,none,1
187,812,812,-59.5,-44,label,1,0,1100,-250,black,none,1
188,813,813,-41.5,178,label,1,0,1100,-250,black,none,1
189,814,814,-48.5,172,label,1,0,1100,-250,black,none,1
190,815,815,-25.5,175,label,1,0,1100,-250,black,none,1
191,816,816,-70.5,-178,label,1,0,1100,-250,black,none,1
192,817,817,-8.5,153,label,1,0,1100,-250,black,none,1
193,818,818,-5.5,152,label,1,0,1100,-250,black,none,1
194,819,819,-10.5,170,label,1,0,1100,-250,black,none,1
195,820,820,-15.5,96,label,1,0,1100,-250,black,none,1
196,821,821,-30.5,158,label,1,0,1100,-250,black,none,1
197,822,822,-13.5,153,label,1,0,1100,-250,black,none,1
198,823,823,-38.5,159,label,1,0,1100,-250,black,none,1
199,824,824,-12.5,160,label,1,0,1100,-250,black,none,1
200,825,825,-15.5,172,label,1,0,1100,-250,black,none,1
201,826,826,-15.5,149,label,1,0,1100,-250,black,none,1
202,833,833,-29.5,161,label,1,0,1100,-250,black,none,1
203,834,834,-25.5,166.5,label,1,0,1100,-250,black,none,1
204,840,840,-17.5,155,label,1,0,1100,-250,black,none,1
205,846,846,-15.5,177,label,1,0,1100,-250,black,none,1
206,847,847,-21.5,-178,label,1,0,1100,-250,black,none,1
207,848,848,-24.5,-177,label,1,0,1100,-250,black,none,1
208,870,870,-33.5,130,label,1,0,1100,-250,black,none,1
209,871,871,-45.5,147,label,1,0,1100,-250,black,none,1
210,872,872,-24.5,111,label,1,0,1100,-250,black,none,1
211,873,873,-17.5,107,label,1,0,1100,-250,black,none,1
212,875,875,-13.5,120,label,1,0,1100,-250,black,none,1
213,876,876,-16.5,111,label,1,0,1100,-250,black,none,1
214,877,877,-12.5,116,label,1,0,1100,-250,black,none,1
215,888,888,-28.5,96,label,1,0,1100,-250,black,none,1
216,895,895,-76.5,-52,label,1,0,1100,-250,black,none,1
217,896,896,-74.5,-84,label,1,0,1100,-250,black,none,1
218,897,897,-82.5,-121,label,1,0,1100,-250,black,none,1
219,901,901,7.5,-160,label,1,0,1100,-250,black,none,1
220,902,902,-18.5,-92,label,1,0,1100,-250,black,none,1
221,904,904,-62.5,-81,label,1,0,1100,-250,black,none,1
222,905,905,-44.5,11,label,1,0,59,0,black,none,1
223,907,907,67.5,-6,label,1,0,1100,-250,black,none,1
224,908,908,69.5,-9,label,1,0,1100,-250,black,none,1
225,909,909,9.5,-96,label,1,0,1100,-250,black,none,1
226,910,910,47.5,-127,label,1,0,1100,-250,black,none,1
227,912,912,-54.5,-60,label,1,0,1100,-250,black,none,1
228,913,913,-57.5,-50,label,1,0,1100,-250,black,none,1
229,930,930,-53.5,-41,label,1,0,1100,-250,black,none,1
230,931,931,-56.5,-37,label,1,0,1100,-250,black,none,1
231,932,932,-55.5,-26,label,1,0,1100,-250,black,none,1
232,940,940,-23.5,-114,label,1,0,1100,-250,black,none,1
233,944,944,-58.5,-62,label,1,0,1100,-250,black,none,1
234,985,985,-50.5,74,label,1,0,1100,-250,black,none,1
235,992,992,-54.5,70,label,1,0,1100,-250,black,none,1
