URN,Description,PlateID,PoleLatitude,PoleLongitude,symbol,pseudoQ,azi,OldAge,YoungAge,border,fill,psuedoQ
34,34 478 28.8 310.9 Zhaoetal(1992) Late Cambrian - Ordovician carbonates,604,28.8,310.9,circle,3.4117,0,488,468,black,byPlateId,0.798422392
34,34 478 28.8 310.9 Zhaoetal(1992) Late Cambrian - Ordovician carbonates,604,-28.8,130.9,circle,3.4117,0,488,468,black,byPlateId,0.798422392
35,35 478 37.4 324.3 Huangetal(1999)b  Early Ordovician carbonates,604,37.4,324.3,circle,3.4117,0,488,468,black,byPlateId,0.798422392
35,35 478 37.4 324.3 Huangetal(1999)b  Early Ordovician carbonates,604,-37.4,144.3,circle,3.4117,0,488,468,black,byPlateId,0.798422392
36,49 478 -20.4 180.6 Fangetal(1996) Ordovician limestones,601,-20.4,180.6,circle,3.4117,0,488,468,black,byPlateId,0.798422392
36,49 478 -20.4 180.6 Fangetal(1996) Ordovician limestones,601,20.4,0.6,circle,3.4117,0,488,468,black,byPlateId,0.798422392
37,28 480 42.2 308.1 Cocks&Torsvik(2007) Surinsk fm,401,42.2,308.1,circle,3.4117,0,490,470,black,byPlateId,0.798422392
37,28 480 42.2 308.1 Cocks&Torsvik(2007) Surinsk fm,401,-42.2,128.1,circle,3.4117,0,490,470,black,byPlateId,0.798422392
38,36 480 32.9 294.6 Yang et al(2002) Zhaogezhuang area carbonates,604,32.9,294.6,circle,3.4117,0,490,470,black,byPlateId,0.798422392
38,36 480 32.9 294.6 Yang et al(2002) Zhaogezhuang area carbonates,604,-32.9,114.6,circle,3.4117,0,490,470,black,byPlateId,0.798422392
39,11 483 35.2 307.2 Cocks&Torsvik(2007) Uigur Nizhneiltyk fm,401,35.2,307.2,circle,3.4117,0,493,473,black,byPlateId,0.798422392
39,11 483 35.2 307.2 Cocks&Torsvik(2007) Uigur Nizhneiltyk fm,401,-35.2,127.2,circle,3.4117,0,493,473,black,byPlateId,0.798422392
40,12 483 40 318 Cocks&Torsvik(2007) Moyero River sediments,401,40,318,circle,3.4117,0,493,473,black,byPlateId,0.798422392
40,12 483 40 318 Cocks&Torsvik(2007) Moyero River sediments,401,-40,138,circle,3.4117,0,493,473,black,byPlateId,0.798422392
41,52 485 -26.9 255.5 Metelkinetal(2005) Kruzhilikhinskaya Kurchavinskaya fm,401,-26.9,255.5,circle,3.4117,0,495,475,black,byPlateId,0.798422392
41,52 485 -26.9 255.5 Metelkinetal(2005) Kruzhilikhinskaya Kurchavinskaya fm,401,26.9,75.5,circle,3.4117,0,495,475,black,byPlateId,0.798422392
42,37 491 31.7 329.6 Huangetal(1999)b Late Cambrian carbonates,604,31.7,329.6,circle,3.4117,0,501,481,black,byPlateId,0.798422392
42,37 491 31.7 329.6 Huangetal(1999)b Late Cambrian carbonates,604,-31.7,149.6,circle,3.4117,0,501,481,black,byPlateId,0.798422392
43,13 500 36.1 310.7 Cocks&Torsvik(2007) Kulubinskaya fm,401,36.1,310.7,circle,3.4117,0,510,490,black,byPlateId,0.798422392
43,13 500 36.1 310.7 Cocks&Torsvik(2007) Kulubinskaya fm,401,-36.1,130.7,circle,3.4117,0,510,490,black,byPlateId,0.798422392
44,14 500 37 318 Cocks&Torsvik(2007) Moyero River sediments,401,37,318,circle,3.4117,0,510,490,black,byPlateId,0.798422392
44,14 500 37 318 Cocks&Torsvik(2007) Moyero River sediments,401,-37,138,circle,3.4117,0,510,490,black,byPlateId,0.798422392
45,29 501 37.69 304 Cocks&Torsvik(2007) Verkholensk fm,401,37.69,304,circle,3.4117,0,511,491,black,byPlateId,0.798422392
45,29 501 37.69 304 Cocks&Torsvik(2007) Verkholensk fm,401,-37.69,124,circle,3.4117,0,511,491,black,byPlateId,0.798422392
46,38 503 37 326.7 Huangetal(1999)b Middle Cambrian sediments,604,37,326.7,circle,3.4117,0,513,493,black,byPlateId,0.798422392
46,38 503 37 326.7 Huangetal(1999)b Middle Cambrian sediments,604,-37,146.7,circle,3.4117,0,513,493,black,byPlateId,0.798422392
47,44 503 -39.5 185.1 Lixinetal(1998) Douposi fm Wangcang section,611,-39.5,185.1,circle,3.4117,0,513,493,black,byPlateId,0.798422392
47,44 503 -39.5 185.1 Lixinetal(1998) Douposi fm Wangcang section,611,39.5,5.1,circle,3.4117,0,513,493,black,byPlateId,0.798422392
