URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color,alpha
142,SE Parece Vela Basin,653,18.5,142,label,1,0,1100,-250,black,none,1
143,W Parece Vela basin,654,19.5,137,label,1,0,1100,-250,black,none,1
144,North Philippine plate,655,22.5,130,label,1,0,1100,-250,black,none,1
145,South Philippine plate,656,12.5,130,label,1,0,1100,-250,black,none,1
146,Philippines,659,13.5,123,label,1,0,1100,-250,black,none,1
147,northern Sulawesi,664,2.5,122,label,1,0,1100,-250,black,none,1
148,N. Carolina plate,670,6.5,142,label,1,0,1100,-250,black,none,1
149,Halmahera,672,1.5,127,label,1,0,1100,-250,black,none,1
150,Sangihe Island,673,3.5,139,label,1,0,1100,-250,black,none,1
151,N. Bismarck Sea and Solomon arc,675,-7.5,159,label,1,0,1100,-250,black,none,1
152,S. Bismarck Sea,676,-3.5,149,label,1,0,1100,-250,black,none,1
153,Banda Sea,679,-4.5,121,label,1,0,1100,-250,black,none,1
154,Buru/Seram,682,-1.5,129,label,1,0,1100,-250,black,none,1
155,eastern Sulawesi,684,-0.5,123,label,1,0,1100,-250,black,none,1
156,Africa,701,-6.5,20,label,1,0,1100,-250,black,none,1
157,Madagascar,702,-16.5,46,label,1,0,600,-250,black,none,1
158,Seychelles,704,-2.5,55.5,label,1,0,1100,-250,black,none,1
159,Mascarene Bank,705,-9.5,61.5,label,1,0,1100,-250,black,none,1
160,Atlas mountains,707,35.5,-1,label,1,0,1100,-250,black,none,1
161,East Africa,709,3.5,40,label,1,0,1100,-250,black,none,1
162,Victoria block,712,0.5,32,label,1,0,1100,-250,black,none,1
163,Northwest Africa,714,20.5,-4,label,1,0,1100,-250,black,none,1
164,Northeast Africa,715,23.5,21,label,1,0,1100,-250,black,none,1
165,Sudan,716,12.5,35,label,1,0,1100,-250,black,none,1
166,Atlas block,776,37,-2,label,1,0,1100,-250,black,none,1
167,NW African Fold belt,777,27.5,5,label,1,0,1100,-250,black,none,1
168,Saharan craton,778,18.5,-9,label,1,0,600,-250,black,none,1
169,Congo craton part 1,779,9.5,22,label,1,0,1100,-250,black,none,1
170,Congo craton part 2,780,13.5,39,label,1,0,600,-250,black,none,1
171,Mozambique Ridge,781,-14.5,34,label,1,0,600,-250,black,none,1
172,Gabon fold belt,782,-2.5,11,label,1,0,1100,-250,black,none,1
173,Damara fold belt,783,-19.5,15,label,1,0,1100,-250,black,none,1
174,Walvis fold belt,784,-31,17.5,label,1,0,1100,-250,black,none,1
175,New Guinea,800,-0.5,132,label,1,0,1100,-250,black,none,1
