URN,label,PlateID,lat,long,symbol,size,azimuth,start,end,line_color,fill,alpha
24,Talemzane,714,33.3166667,4.03333333,circle,2,0,3,-999,none,red,1
25,Lonar,501,19.9666667,76.5166667,circle,2,0,0.052,-999,none,red,1
26,Tenouomer,714,22.9166667,-10.4,circle,2,0,2.5,-999,none,red,1
27,Tvaren,301,58.7666667,17.4166667,circle,2,0,455,-999,none,red,1
28,Holleford,101,44.4666667,-76.633333,circle,2,0,550,-999,none,red,1
29,West Hawk,101,49.7666667,-95.183333,circle,2,0,100,-999,none,red,1
30,Roter Kamm,701,-27.766667,16.3,circle,2,0,3.7,-999,none,red,1
31,Zeleny Gai,301,48.7,32.9,circle,2,0,120,-999,none,red,1
32,Rotmistrovka,301,49,32,circle,2,0,140,-999,none,red,1
33,B.P. Structure,715,25.3166667,24.3333333,circle,2,0,120,-999,none,red,1
34,Granby,301,58.4166667,15.9333333,circle,2,0,470,-999,none,red,1
35,Iso-Naakkima,301,62.1833333,27.15,circle,2,0,1000,-999,none,red,1
36,Newporte,101,48.9666667,-101.96667,circle,2,0,500,-999,none,red,1
37,Shunak,402,47.2,72.7,circle,2,0,12,-999,none,red,1
38,New Quebec,101,61.2833333,-73.666667,circle,2,0,1.4,-999,none,red,1
39,Gusev,301,48.35,40.2333333,circle,2,0,65,-999,none,red,1
40,Ouarkziz,714,29,-7.55,circle,2,0,70,-999,none,red,1
41,Flynn Creek,101,36.2833333,-85.666667,circle,2,0,360,-999,none,red,1
42,Brent,101,46.0833333,-78.483333,circle,2,0,450,-999,none,red,1
43,Steinhiem,305,48.0333333,10.0666667,circle,2,0,15,-999,none,red,1
44,Glasford,101,40.6,-89.783333,circle,2,0,430,-999,none,red,1
45,Ille Roule,101,50.6833333,-73.883333,circle,2,0,300,-999,none,red,1
46,Kardla,301,58.9833333,22.6666667,circle,2,0,455,-999,none,red,1
47,Mishina Gora,301,58.6666667,28,circle,2,0,360,-999,none,red,1
48,Suvasvesi N,301,62.7,28,circle,2,0,1000,-999,none,red,1
49,Zapadnaya,301,49.7333333,29,circle,2,0,115,-999,none,red,1
50,Dobele,301,56.5833333,23.25,circle,2,0,300,-999,none,red,1
51,Ilyinets,301,49.1,29.2,circle,2,0,395,-999,none,red,1
52,Riachao Ring,201,-7.7166667,-46.65,circle,2,0,200,-999,none,red,1
53,Rio Cuarto,202,-30.866667,-64.233333,circle,2,0,0.1,-999,none,red,1
54,Gardnos,301,60.65,9,circle,2,0,500,-999,none,red,1
55,Gow,101,56.45,-104.48333,circle,2,0,250,-999,none,red,1
56,Mizarai,301,54.0166667,24.5666667,circle,2,0,570,-999,none,red,1
57,Goat Paddock,801,-18.333333,126.666667,circle,2,0,50,-999,none,red,1
58,Chiyli,301,49.1666667,57.85,circle,2,0,46,-999,none,red,1
59,Kursk,301,51.6666667,36,circle,2,0,250,-999,none,red,1
60,Chukca,401,75.7,97.8,circle,2,0,70,-999,none,red,1
61,Decaturville,101,37.9,-92.716667,circle,2,0,300,-999,none,red,1
62,Middleboro,101,36.6166667,-83.733333,circle,2,0,300,-999,none,red,1
63,Pilot,101,60.2833333,-111.01667,circle,2,0,445,-999,none,red,1
64,Saaksjarvi,301,61.4,22.4,circle,2,0,560,-999,none,red,1
65,Tin Bider,714,27.6,5.11666667,circle,2,0,70,-999,none,red,1
66,Bigach,402,48.5,82,circle,2,0,6,-999,none,red,1
67,Crooked Creek,101,37.8333333,-91.383333,circle,2,0,320,-999,none,red,1
68,Lockne,301,63,14.8,circle,2,0,455,-999,none,red,1
69,Piccaninny,801,-17.533333,128.416667,circle,2,0,360,-999,none,red,1
70,Wanapitei,101,46.75,-80.75,circle,2,0,37,-999,none,red,1
71,Beyenchime-Salaatin,401,71.8333333,123.5,circle,2,0,65,-999,none,red,1
72,Des Plains,101,42.05,-87.866667,circle,2,0,280,-999,none,red,1
73,Glover Bluff,101,43.9666667,-89.533333,circle,2,0,500,-999,none,red,1
74,La Moinerie,101,57.4333333,-66.616667,circle,2,0,400,-999,none,red,1
75,Serpent Mound,101,39.0333333,-83.4,circle,2,0,320,-999,none,red,1
76,Vepriai,301,54.0166667,24.5666667,circle,2,0,160,-999,none,red,1
77,Connolly Basin,801,-23.533333,124.75,circle,2,0,60,-999,none,red,1
78,Couture,101,60.1333333,-75.333333,circle,2,0,430,-999,none,red,1
79,Lumparn,301,60.2,20.1,circle,2,0,1000,-999,none,red,1
80,Mien,301,56.4166667,14.8666667,circle,2,0,121,-999,none,red,1
81,Ragozinka,301,58.3,62,circle,2,0,55,-999,none,red,1
82,Red Wing,101,47.6,-103.55,circle,2,0,200,-999,none,red,1
83,Eagle Butte,101,49.7,-110.5,circle,2,0,65,-999,none,red,1
84,Kelly West,801,-19.933333,133.95,circle,2,0,550,-999,none,red,1
85,Upheaval Dome,133,38.4333333,-109.9,circle,2,0,65,-999,none,red,1
86,Bosumtwi,714,6.5,-1.4166667,circle,2,0,1.03,-999,none,red,1
87,Oasis,715,24.5833333,24.4,circle,2,0,120,-999,none,red,1
88,Avak,103,71.25,-156.63333,circle,2,0,95,-999,none,red,1
89,Karla,301,54.9,48,circle,2,0,10,-999,none,red,1
90,Serra de Cangalha,201,-8.0833333,-46.866667,circle,2,0,300,-999,none,red,1
91,Vargeao Dome,201,-26.833333,-52.116667,circle,2,0,70,-999,none,red,1
92,Wells Creek,101,36.3833333,-87.666667,circle,2,0,200,-999,none,red,1
93,Nicholson,101,62.6666667,-102.68333,circle,2,0,400,-999,none,red,1
94,Aorounga,715,19.1,19.25,circle,2,0,0.004,-999,none,red,1
95,Deep Bay,101,56.4,-102.98333,circle,2,0,100,-999,none,red,1
96,Kentland,101,40.75,-87.4,circle,2,0,97,-999,none,red,1
97,Marquez,101,31.2833333,-96.3,circle,2,0,58,-999,none,red,1
98,Sierra Madera,101,30.6,-102.91667,circle,2,0,100,-999,none,red,1
99,Spider,801,-16.733333,126.083333,circle,2,0,570,-999,none,red,1
100,Zhamanshin,514,48.3333333,60.9666667,circle,2,0,0.9,-999,none,red,1
101,Gwendi-Fada,715,17.4166667,21.75,circle,2,0,345,-999,none,red,1
102,Janisjarvi,301,61.9666667,30.9166667,circle,2,0,698,-999,none,red,1
103,Kaluga,301,54.5,36.25,circle,2,0,380,-999,none,red,1
104,Obolon',301,49.5,32.9166667,circle,2,0,215,-999,none,red,1
105,Ternovka,301,48.0166667,33.0833333,circle,2,0,350,-999,none,red,1
106,Ames,101,36.25,-98.2,circle,2,0,470,-999,none,red,1
107,Logoisk,301,54.2,27.8,circle,2,0,40,-999,none,red,1
108,El'gygytgyn,103,67.5,172,circle,2,0,3.5,-999,none,red,1
109,Lawn Hill,801,-18.666667,138.65,circle,2,0,515,-999,none,red,1
110,Dellen,301,61.9166667,16.65,circle,2,0,89,-999,none,red,1
111,Logancha,401,65.5,95.8333333,circle,2,0,25,-999,none,red,1
112,Gosses Bluff,801,-23.833333,132.316667,circle,2,0,142.5,-999,none,red,1
113,Lappajarvi,301,63.2,23.7,circle,2,0,77.3,-999,none,red,1
114,Rochechouart,305,45.8333333,0.93334333,circle,2,0,186,-999,none,red,1
115,Boltysh,301,48.75,32.1666667,circle,2,0,88,-999,none,red,1
116,Haughton,106,75.3666667,-89.683333,circle,2,0,23,-999,none,red,1
117,Presquile,101,49.7166667,-74.8,circle,2,0,500,-999,none,red,1
118,Ries,305,48.8833333,10.6166667,circle,2,0,15,-999,none,red,1
119,Kamensk,301,48.3333333,40.25,circle,2,0,49,-999,none,red,1
120,Steen River,101,59.5,-117.63333,circle,2,0,95,-999,none,red,1
121,Strangways,801,-15.2,133.583333,circle,2,0,470,-999,none,red,1
122,Ust-Kara,301,69.3,65.3,circle,2,0,73,-999,none,red,1
123,Clearwater East,101,56.0833333,-74.116667,circle,2,0,290,-999,none,red,1
124,Mistastin,101,55.8833333,-63.3,circle,2,0,38,-999,none,red,1
125,Azuara,304,41.1666667,-1,circle,2,0,130,-999,none,red,1
126,Slate Islands,101,48.6666667,-87,circle,2,0,350,-999,none,red,1
127,Teague,801,-25.866667,120.883333,circle,2,0,1630,-999,none,red,1
128,Manson,101,42.5833333,-94.55,circle,2,0,73.8,-999,none,red,1
129,Clearwater West,101,56.2166667,-74.5,circle,2,0,290,-999,none,red,1
130,Carswell,101,58.45,-109.5,circle,2,0,115,-999,none,red,1
131,Araguainha Dome,201,-16.783333,-52.983333,circle,2,0,247,-999,none,red,1
132,Saint Martin,101,51.7833333,-98.533333,circle,2,0,220,-999,none,red,1
133,Montagnais,107,42.8833333,-64.216667,circle,2,0,50.5,-999,none,red,1
134,Kara Sul,601,39.0166667,73.45,circle,2,0,5,-999,none,red,1
135,Siljan,301,61.0333333,14.8666667,circle,2,0,368,-999,none,red,1
136,Charlevoix,101,47.5333333,-70.3,circle,2,0,357,-999,none,red,1
137,Tookoonooka,801,-27,143,circle,2,0,128,-999,none,red,1
138,Beaverhead,132,44.6,-113,circle,2,0,600,-999,none,red,1
139,Kara,301,69.2,65,circle,2,0,73,-999,none,red,1
140,Puchezh-Katunki,301,57.1,43.5833333,circle,2,0,175,-999,none,red,1
141,Chesapeake Bay,109,37.25,-76.083333,circle,2,0,35.5,-999,none,red,1
142,Acraman,801,-32.016667,135.45,circle,2,0,450,-999,none,red,1
143,Manicouagan,101,51.3833333,-68.7,circle,2,0,214,-999,none,red,1
144,Popigai,401,71.5,111,circle,2,0,35,-999,none,red,1
145,Chicxulub,205,21.3333333,-89.5,circle,2,0,64.98,-999,none,red,1
146,Sudbury,101,46.6,-81.183333,circle,2,0,1850,-999,none,red,1
147,Vredefort,701,-27,27.5,circle,2,0,2006,-999,none,red,1
148,Soderfjarden,301,62.9,21.7,circle,2,0,600,-999,none,red,1
