URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color
198,823,823,-38.5,159,label,1,0,1100,-250,black,none
199,824,824,-12.5,160,label,1,0,1100,-250,black,none
200,825,825,-15.5,172,label,1,0,1100,-250,black,none
201,826,826,-15.5,149,label,1,0,1100,-250,black,none
202,833,833,-29.5,161,label,1,0,1100,-250,black,none
203,834,834,-25.5,166.5,label,1,0,1100,-250,black,none
204,840,840,-17.5,155,label,1,0,1100,-250,black,none
205,846,846,-15.5,177,label,1,0,1100,-250,black,none
206,847,847,-21.5,-178,label,1,0,1100,-250,black,none
207,848,848,-24.5,-177,label,1,0,1100,-250,black,none
208,870,870,-33.5,130,label,1,0,1100,-250,black,none
209,871,871,-45.5,147,label,1,0,1100,-250,black,none
210,872,872,-24.5,111,label,1,0,1100,-250,black,none
211,873,873,-17.5,107,label,1,0,1100,-250,black,none
212,875,875,-13.5,120,label,1,0,1100,-250,black,none
213,876,876,-16.5,111,label,1,0,1100,-250,black,none
214,877,877,-12.5,116,label,1,0,1100,-250,black,none
215,888,888,-28.5,96,label,1,0,1100,-250,black,none
216,895,895,-76.5,-52,label,1,0,1100,-250,black,none
217,896,896,-74.5,-84,label,1,0,1100,-250,black,none
218,897,897,-82.5,-121,label,1,0,1100,-250,black,none
219,901,901,7.5,-160,label,1,0,1100,-250,black,none
220,902,902,-18.5,-92,label,1,0,1100,-250,black,none
221,904,904,-62.5,-81,label,1,0,1100,-250,black,none
222,905,905,-44.5,11,label,1,0,59,0,black,none
223,907,907,67.5,-6,label,1,0,1100,-250,black,none
224,908,908,69.5,-9,label,1,0,1100,-250,black,none
225,909,909,9.5,-96,label,1,0,1100,-250,black,none
226,910,910,47.5,-127,label,1,0,1100,-250,black,none
227,912,912,-54.5,-60,label,1,0,1100,-250,black,none
228,913,913,-57.5,-50,label,1,0,1100,-250,black,none
229,930,930,-53.5,-41,label,1,0,1100,-250,black,none
230,931,931,-56.5,-37,label,1,0,1100,-250,black,none
231,932,932,-55.5,-26,label,1,0,1100,-250,black,none
232,940,940,-23.5,-114,label,1,0,1100,-250,black,none
233,944,944,-58.5,-62,label,1,0,1100,-250,black,none
234,985,985,-50.5,74,label,1,0,1100,-250,black,none
235,992,992,-54.5,70,label,1,0,1100,-250,black,none
