URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color
159,MSC,705,-9.5,61.5,label,1,0,1100,-250,black,none
160,ATL,707,35.5,-1,label,1,0,1100,-250,black,none
161,EAF,709,3.5,40,label,1,0,1100,-250,black,none
162,VIC,712,0.5,32,label,1,0,1100,-250,black,none
163,NWA,714,20.5,-4,label,1,0,1100,-250,black,none
164,NEA,715,23.5,21,label,1,0,1100,-250,black,none
165,SUD,716,12.5,35,label,1,0,1100,-250,black,none
166,ATB,776,37,-2,label,1,0,1100,-250,black,none
167,AFB,777,27.5,5,label,1,0,1100,-250,black,none
168,SAH,778,18.5,-9,label,1,0,600,-250,black,none
169,CN1,779,9.5,22,label,1,0,1100,-250,black,none
170,CH2,780,13.5,39,label,1,0,600,-250,black,none
171,MOZ,781,-14.5,34,label,1,0,600,-250,black,none
172,GAB,782,-2.5,11,label,1,0,1100,-250,black,none
173,DAM,783,-19.5,15,label,1,0,1100,-250,black,none
174,WVS,784,-31,17.5,label,1,0,1100,-250,black,none
175,NGU,800,-0.5,132,label,1,0,1100,-250,black,none
176,AUS,801,-21.5,135,label,1,0,0,-250,black,none
177,ANT,802,-80.5,84,label,1,0,83,-250,black,none
178,PLM,803,-68.5,-65,label,1,0,1100,-250,black,none
179,MBD,804,-75.5,-119,label,1,0,0,-250,black,none
180,ELL,805,-78.5,-90,label,1,0,1100,-250,black,none
181,NNZ,806,-37.5,174,label,1,0,1100,-250,black,none
182,SNZ,807,-45.5,168,label,1,0,1100,-250,black,none
183,GOP,808,-9.5,147,label,1,0,1100,-250,black,none
184,RNR,809,-8.5,156,label,1,0,1100,-250,black,none
185,NCS,810,-11.5,153,label,1,0,1100,-250,black,none
186,SSI,811,-60.5,-59,label,1,0,1100,-250,black,none
187,ORK,812,-59.5,-44,label,1,0,1100,-250,black,none
188,CHT,813,-41.5,178,label,1,0,1100,-250,black,none
189,CMP,814,-48.5,172,label,1,0,1100,-250,black,none
190,SFB,815,-25.5,175,label,1,0,1100,-250,black,none
191,BLN,816,-70.5,-178,label,1,0,1100,-250,black,none
192,SLM,817,-8.5,153,label,1,0,1100,-250,black,none
193,SLB,818,-5.5,152,label,1,0,1100,-250,black,none
194,MEL,819,-10.5,170,label,1,0,1100,-250,black,none
195,WHB,820,-15.5,96,label,1,0,1100,-250,black,none
196,LSC,821,-30.5,158,label,1,0,1100,-250,black,none
197,CRL,822,-13.5,153,label,1,0,1100,-250,black,none
198,LHT,823,-38.5,159,label,1,0,1100,-250,black,none
199,NHB,824,-12.5,160,label,1,0,1100,-250,black,none
200,WFJ,825,-15.5,172,label,1,0,1100,-250,black,none
201,CSP,826,-15.5,149,label,1,0,1100,-250,black,none
202,LHR,833,-29.5,161,label,1,0,1100,-250,black,none
203,NFK,834,-25.5,166.5,label,1,0,1100,-250,black,none
204,MRR,840,-17.5,155,label,1,0,1100,-250,black,none
205,EFB,846,-15.5,177,label,1,0,1100,-250,black,none
206,FLB,847,-21.5,-178,label,1,0,1100,-250,black,none
207,KER,848,-24.5,-177,label,1,0,1100,-250,black,none
208,SAC,870,-33.5,130,label,1,0,1100,-250,black,none
209,TSM,871,-45.5,147,label,1,0,1100,-250,black,none
210,NTR,872,-24.5,111,label,1,0,1100,-250,black,none
211,NWB,873,-17.5,107,label,1,0,1100,-250,black,none
212,TMR,875,-13.5,120,label,1,0,1100,-250,black,none
213,SWA,876,-16.5,111,label,1,0,1100,-250,black,none
214,NEI,877,-12.5,116,label,1,0,1100,-250,black,none
215,BRR,888,-28.5,96,label,1,0,1100,-250,black,none
216,BRK,895,-76.5,-52,label,1,0,1100,-250,black,none
217,SNT,896,-74.5,-84,label,1,0,1100,-250,black,none
218,TAN,897,-82.5,-121,label,1,0,1100,-250,black,none
219,PAC,901,7.5,-160,label,1,0,1100,-250,black,none
220,NAZ,902,-18.5,-92,label,1,0,1100,-250,black,none
221,ALU,904,-62.5,-81,label,1,0,1100,-250,black,none
222,CPB,905,-44.5,11,label,1,0,59,0,black,none
223,ICE,907,67.5,-6,label,1,0,1100,-250,black,none
224,WJM,908,69.5,-9,label,1,0,1100,-250,black,none
225,COC,909,9.5,-96,label,1,0,1100,-250,black,none
226,JDF,910,47.5,-127,label,1,0,1100,-250,black,none
227,NSS,912,-54.5,-60,label,1,0,1100,-250,black,none
228,SSS,913,-57.5,-50,label,1,0,1100,-250,black,none
229,SGI,930,-53.5,-41,label,1,0,1100,-250,black,none
230,WSS,931,-56.5,-37,label,1,0,1100,-250,black,none
231,ESS,932,-55.5,-26,label,1,0,1100,-250,black,none
232,EAS,940,-23.5,-114,label,1,0,1100,-250,black,none
233,PHX,944,-58.5,-62,label,1,0,1100,-250,black,none
234,NKP,985,-50.5,74,label,1,0,1100,-250,black,none
235,SKP,992,-54.5,70,label,1,0,1100,-250,black,none
