URN,Label,PlateID,latitude,longitude,Symbol,Size,Azimuth,start_time,end_time,Border Color,Fill Color,alpha
9964,Basalt,131,37.1,-116.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9965,Basalt,123,57.1,-170.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9967,Basalt,291,-37.2,-70.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9968,Basalt,291,-38.7,-70.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9969,Basalt,291,-39.8,-70.6,circle,1.5,0,5.33,0,none,byGeoAge,1
9972,Basalt,659,15.3,120.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9973,Basalt,659,14.1,121.2,circle,1.5,0,5.33,0,none,byGeoAge,1
9974,Basalt,714,14.7,-17.4,circle,1.5,0,5.33,0,none,byGeoAge,1
10005,Basalt,416,53.9,-167,circle,1.5,0,5.33,0,none,byGeoAge,1
10006,Basalt,707,33.6,-4,circle,1.5,0,5.33,0,none,byGeoAge,1
10159,Basalt,416,51.7,-177.6,circle,1.5,0,5.33,0,none,byGeoAge,1
10161,Basalt,105,30.2,-114.6,circle,1.5,0,5.33,0,none,byGeoAge,1
10163,Basalt,105,29.8,-114.4,circle,1.5,0,5.33,0,none,byGeoAge,1
10164,Basalt,105,30.5,-116,circle,1.5,0,5.33,0,none,byGeoAge,1
10165,Basalt,105,28.7,-114,circle,1.5,0,5.33,0,none,byGeoAge,1
10166,Basalt,105,28.1,-113.1,circle,1.5,0,5.33,0,none,byGeoAge,1
10175,Basalt,619,3.8,103.3,circle,1.5,0,5.33,0,none,byGeoAge,1
10176,Basalt,801,-18.5,145,circle,1.5,0,5.33,0,none,byGeoAge,1
10178,Basalt,675,-7.1,157,circle,1.5,0,5.33,0,none,byGeoAge,1
10186,Basalt,675,-7.7,156.6,circle,1.5,0,5.33,0,none,byGeoAge,1
10187,Basalt,675,-8,157,circle,1.5,0,5.33,0,none,byGeoAge,1
10230,Basalt,620,-6.6,110.9,circle,1.5,0,5.33,0,none,byGeoAge,1
10238,Basalt,801,-6.6,142.8,circle,1.5,0,5.33,0,none,byGeoAge,1
10239,Basalt,801,-6.6,145,circle,1.5,0,5.33,0,none,byGeoAge,1
10240,Basalt,801,-6,143.9,circle,1.5,0,5.33,0,none,byGeoAge,1
10242,Basalt,801,-7,145.8,circle,1.5,0,5.33,0,none,byGeoAge,1
10243,Basalt,801,-5.8,143,circle,1.5,0,5.33,0,none,byGeoAge,1
10244,Basalt,801,-5.6,144.1,circle,1.5,0,5.33,0,none,byGeoAge,1
10254,Basalt,620,-5.7,108,circle,1.5,0,5.33,0,none,byGeoAge,1
10285,Basalt,406,62.2,-164.2,circle,1.5,0,5.33,0,none,byGeoAge,1
10286,Basalt,123,59.3,-160.1,circle,1.5,0,5.33,0,none,byGeoAge,1
10287,Basalt,406,60,-166.3,circle,1.5,0,5.33,0,none,byGeoAge,1
10303,Basalt,505,29.6,56.5,circle,1.5,0,5.33,0,none,byGeoAge,1
10309,Basalt,505,31.3,60,circle,1.5,0,5.33,0,none,byGeoAge,1
10310,Basalt,505,31.3,57.5,circle,1.5,0,5.33,0,none,byGeoAge,1
10311,Basalt,505,31,61,circle,1.5,0,5.33,0,none,byGeoAge,1
10325,Basalt,611,23.6,119.6,circle,1.5,0,5.33,0,none,byGeoAge,1
10326,Basalt,503,14.6,44.8,circle,1.5,0,5.33,0,none,byGeoAge,1
10329,Basalt,901,-13.5,-172.8,circle,1.5,0,5.33,0,none,byGeoAge,1
10330,Basalt,901,-13.7,-172.2,circle,1.5,0,5.33,0,none,byGeoAge,1
10331,Basalt,901,-13.9,-171.6,circle,1.5,0,5.33,0,none,byGeoAge,1
10332,Basalt,127,58,-131,circle,1.5,0,5.33,0,none,byGeoAge,1
10333,Basalt,709,-3.1,37.3,circle,1.5,0,5.33,0,none,byGeoAge,1
10334,Basalt,709,-3,38,circle,1.5,0,5.33,0,none,byGeoAge,1
10335,Basalt,709,-2.6,37.8,circle,1.5,0,5.33,0,none,byGeoAge,1
10336,Basalt,709,-2.2,38,circle,1.5,0,5.33,0,none,byGeoAge,1
10337,Basalt,709,-2.2,37.3,circle,1.5,0,5.33,0,none,byGeoAge,1
10338,Basalt,709,-0.1,38.2,circle,1.5,0,5.33,0,none,byGeoAge,1
10339,Basalt,709,-0.7,37.6,circle,1.5,0,5.33,0,none,byGeoAge,1
10340,Basalt,709,0.8,38.7,circle,1.5,0,5.33,0,none,byGeoAge,1
