9999 9999,GPML,nolabel,none,black,byPlateId,1,0
 101 4500.0   -inf UN   0   0   0     0
 -65.0762  -62.1414 2
 -65.8383  -61.7586 2
 -66.4813  -61.4652 2
 -67.1132  -60.9527 2
 -68.0300  -60.3660 2
 -68.6338  -60.3571 2
 -69.0253  -60.5900 2
 -69.5250  -60.9799 2
 -70.0539  -61.2163 2
 -70.4150  -61.5840 2
 -70.9030  -62.1066 2
 -71.2858  -62.4119 2
 -71.5838  -62.6176 2
 -71.8568  -62.6724 2
 -72.2131  -62.5983 2
 -72.6484  -62.4456 2
 -73.0516  -62.1028 2
 -73.4376  -61.8023 2
 -73.8825  -61.6198 2
 -74.3337  -61.3100 2
 -74.7430  -60.7581 2
 -75.2503  -59.6278 2
 -75.7324  -58.4820 2
 -76.2010  -57.2051 2
 -76.6973  -56.8065 2
 -77.0542  -56.4373 2
 -77.3307  -56.1309 2
 -77.6266  -55.8180 2
 -77.8765  -55.6419 2
 -78.2136  -55.5559 2
 -78.2289  -58.2174 2
 -78.1790  -61.4316 2
 -78.1985  -65.7205 2
 -78.2455  -68.8775 2
 -77.8241  -69.5839 2
 -77.2756  -70.5907 2
 -76.6035  -71.3738 2
 -75.9977  -72.2881 2
 -75.4938  -72.9351 2
 -74.7945  -73.3810 2
 -74.3327  -73.4364 2
 -73.9342  -73.3918 2
 -73.5705  -73.2185 2
 -73.1476  -72.8755 2
  99.0000   99.0000 3
9999 9999,GPML,nolabel,none,black,byPlateId,1,0
 109  100.0   -inf UN   0   0   0     0
 -84.6483 -169.3539 3
 -83.9326 -165.3422 2
 -83.2463 -163.1320 2
 -82.5900 -161.6199 2
 -82.0101 -160.6053 2
 -81.4866 -159.6015 2
 -80.7855 -157.7536 2
 -80.3009 -155.7140 2
 -79.7578 -152.2851 2
 -79.4958 -148.0785 2
 -79.4363 -143.3124 2
 -79.5466 -139.7248 2
 -79.5803 -136.5857 2
 -80.0211 -134.5140 2
 -80.4061 -133.2574 2
 -80.8521 -131.9603 2
 -81.2470 -130.9964 2
 -81.8345 -129.3107 2
 -82.6312 -125.6442 2
 -83.1900 -121.1304 2
 -83.5288 -116.9325 2
 -83.7345 -111.7941 2
 -83.6966 -106.1049 2
 -83.4586 -102.2160 2
 -83.2025 -100.6187 2
 -83.1764  -96.9592 2
 -83.1652  -91.8250 2
 -83.1424  -87.8952 2
 -82.9743  -84.2917 2
 -82.7953  -81.4306 2
 -82.3806  -77.3365 2
 -81.9241  -73.3952 2
 -82.7207  -74.6463 2
 -83.3632  -77.0214 2
 -84.0362  -79.9103 2
 -84.7398  -82.8054 2
 -85.4016  -85.6000 2
 -86.0567  -89.5310 2
 -86.7102  -94.0973 2
 -87.2737  -99.6876 2
 -87.7700 -106.1352 2
 -88.2913 -119.3948 2
 -88.7622 -137.5296 2
 -89.0126 -169.1480 2
 -88.9066  154.7742 2
 -88.5976  135.1016 2
 -88.0559  119.9027 2
 -87.4533  110.6485 2
 -86.9431  105.0795 2
 -86.6020  100.5110 2
 -86.2094   97.9567 2
 -85.6780   95.4293 2
 -85.1542   93.6077 2
 -84.5675   92.3277 2
 -83.6092   90.3053 2
 -82.9727   90.1556 2
 -82.4671   90.1252 2
 -81.9735   90.2201 2
 -81.4025   90.8207 2
 -80.7047   91.8013 2
 -80.1463   92.4051 2
 -79.8376   92.9774 2
 -80.2736   95.8529 2
 -80.8029  101.3825 2
 -81.4034  103.9674 2
 -81.7729  105.9537 2
 -82.3585  110.6201 2
 -82.6726  114.1451 2
 -82.8867  117.2051 2
 -83.0707  121.8276 2
 -83.3393  125.7269 2
 -83.6051  129.5831 2
 -83.9000  133.4322 2
 -84.3772  139.0940 2
 -84.7974  145.6457 2
 -85.0687  151.0139 2
 -85.2674  156.2587 2
 -85.4224  162.0215 2
 -85.5102  169.5427 2
 -85.4444  177.1069 2
 -85.2142 -176.4089 2
 -84.6483 -169.3539 2
  99.0000   99.0000 3
9999 9999,GPML,nolabel,none,black,byPlateId,1,0
 106 4500.0   -inf UN   0   0   0     0
 -11.9501  -42.1197 3
 -12.1956  -42.1329 2
