URN,label,PlateID,lat,long,symbol,size,azimuth,start,end,line_color,fill
71,Capetown,701,-33.99981,18.99992,dot,2,0,600,-999,byPlateId,byPlateId
72,Australia,801,-23.99982,133.9998,dot,2,0,999,-999,byPlateId,byPlateId
73,Sydney,801,-33.99981,150.9998,dot,2,0,999,-999,byPlateId,byPlateId
74,Perth,801,-31.99982,115.9998,dot,2,0,999,-999,byPlateId,byPlateId
75,Zealandia,807,-42.99981,171.9998,dot,2,0,270,-999,byPlateId,byPlateId
76,East Antarctica,802,-77.99978,50.99931,dot,2,0,999,-999,byPlateId,byPlateId
77,Dry Valley,802,-77.99978,158.9992,dot,2,0,999,-999,byPlateId,byPlateId
78,West Antarctic Pennisula,803,-71.99978,-64.00035,dot,2,0,245,-999,byPlateId,byPlateId
79,Marie Brydland,804,-75.99978,-122.0004,dot,2,0,270,-999,byPlateId,byPlateId
80,Hawaii,901,19.50014,-155.4998,dot,2,0,0,-999,byPlateId,byPlateId
